file,class,method,variable,usage
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/util/rss/RSS.java,net.jforum.util.rss.RSS,getEncoding/0,encoding,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/util/rss/RSS.java,net.jforum.util.rss.RSS,addItem/1[net.jforum.util.rss.RSSItem],items,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/util/rss/RSS.java,net.jforum.util.rss.RSS,getLink/0,link,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/util/rss/RSS.java,net.jforum.util.rss.RSS,getTitle/0,title,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/util/rss/RSS.java,net.jforum.util.rss.RSS,getItems/0,items,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/util/rss/RSS.java,net.jforum.util.rss.RSS,getDescription/0,description,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/util/rss/RSS.java,net.jforum.util.rss.RSS,"RSS/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",link,4
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/util/rss/RSS.java,net.jforum.util.rss.RSS,"RSS/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",description,4
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/util/rss/RSS.java,net.jforum.util.rss.RSS,"RSS/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",title,4
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/util/rss/RSS.java,net.jforum.util.rss.RSS,"RSS/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",encoding,4
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/util/rss/RSS.java,net.jforum.util.rss.RSS,"RSS/4[java.lang.String,java.lang.String,java.lang.String,java.lang.String]",items,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/test/java/net/jforum/api/integration/mail/pop/POPListenerTestCase.java,net.jforum.api.integration.mail.pop.POPListenerTestCase$MimeMessageMock,"MimeMessageMock/2[net.jforum.api.integration.mail.pop.Session,java.io.InputStream]",is,4
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/test/java/net/jforum/api/integration/mail/pop/POPListenerTestCase.java,net.jforum.api.integration.mail.pop.POPListenerTestCase$MimeMessageMock,getInputStream/0,is,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/test/java/net/jforum/api/integration/mail/pop/POPListenerTestCase.java,net.jforum.api.integration.mail.pop.POPListenerTestCase$MimeMessageMock,updateMessageID/0,messageId,2
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/test/java/net/jforum/api/integration/mail/pop/POPListenerTestCase.java,net.jforum.api.integration.mail.pop.POPListenerTestCase$MimeMessageMock,setMessageId/1[java.lang.String],messageId,4
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/view/forum/common/PostCommon.java,net.jforum.view.forum.common.PostCommon,"prepareTextForDisplayExceptCodeTag/3[java.lang.String,boolean,boolean]",LOGGER,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/ControllerUtils.java,net.jforum.ControllerUtils,checkSSO/1[net.jforum.entities.UserSession],LOGGER,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/ControllerUtils.java,net.jforum.ControllerUtils,"addCookie/2[java.lang.String,java.lang.String]",LOGGER,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/dao/sqlserver/SqlServer2000DataAccessDriver.java,net.jforum.dao.sqlserver.SqlServer2000DataAccessDriver,newPostDAO/0,postDao,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/dao/sqlserver/SqlServer2000DataAccessDriver.java,net.jforum.dao.sqlserver.SqlServer2000DataAccessDriver,newUserDAO/0,userDao,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/dao/sqlserver/SqlServer2000DataAccessDriver.java,net.jforum.dao.sqlserver.SqlServer2000DataAccessDriver,newTopicDAO/0,topicDao,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/security/Role.java,net.jforum.security.Role,setName/1[java.lang.String],name,3
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/security/Role.java,net.jforum.security.Role,getValues/0,roleValues,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/security/Role.java,net.jforum.security.Role,toString/0,roleValues,1
/run/media/jerry/Data/School/Thesis/project/ck/target/../../jforum2-code/src/main/java/net/jforum/security/Role.java,net.jforum.security.Role,toString/0,name,1
