node_1|node_2|edge|chunk_id
applicationevents|cargowashandled|interface provides a way to let other parts of the system know about events that have occurred, including handling events|2300abb7618545e8bbd2f8eb30ad5c21
applicationevents|cargowasmisdirected|interface provides a way to let other parts of the system know about events that have occurred, including misdirected cargo|2300abb7618545e8bbd2f8eb30ad5c21
applicationevents|cargohasarrived|interface provides a way to let other parts of the system know about events that have occurred, including cargo arrival|2300abb7618545e8bbd2f8eb30ad5c21
bookingservice|cargo booking service.|service for booking cargo|2300abb7618545e8bbd2f8eb30ad5c21
org.eclipse.cargotracker.domain.model.cargo.trackingid|applicationevents.cargowashandled(handlingevent event)|event handling for tracking IDs|2300abb7618545e8bbd2f8eb30ad5c21
org.eclipse.cargotracker.domain.model.cargo.trackingid|applicationevents.cargowasmisdirected(cargo cargo)|event handling for misdirected cargo|2300abb7618545e8bbd2f8eb30ad5c21
org.eclipse.cargotracker.domain.model.location.unlocode|applicationevents.cargowashandled(handlingevent event)|event handling for UnLocodes|2300abb7618545e8bbd2f8eb30ad5c21
java.time.localdate|applicationevents.receivedhandlingeventregistrationattempt(handlingeventregistrationattempt attempt)|handling event registration attempt for LocalDates|2300abb7618545e8bbd2f8eb30ad5c21
org.eclipse.cargotracker.domain.model.cargo.itinerary|bookingservice|use of cargo itineraries in booking service|2300abb7618545e8bbd2f8eb30ad5c21
bookingservice|cargo|A Cargo is registered in the BookingService using the BookingService.bookNewCargo() method.|548d2237b01e45ac924c03a94c7ab850
unlocode|origin|The Origin of a cargo is represented by an UnLocode.|548d2237b01e45ac924c03a94c7ab850
unlocode|destination|The Destination of a cargo is represented by an UnLocode.|548d2237b01e45ac924c03a94c7ab850
trackingid|cargo|A TrackingId is assigned to a Cargo during the BookingService.bookNewCargo() method.|548d2237b01e45ac924c03a94c7ab850
localdate|arrivaldeadline|The ArrivalDeadline for a cargo is represented by a LocalDate.|548d2237b01e45ac924c03a94c7ab850
bookingservice|itinerary|A List of possible routes for a cargo can be requested from the BookingService using the BookingService.requestPossibleRoutesForCargo() method.|548d2237b01e45ac924c03a94c7ab850
bookingservice|assigncargotoroute|A cargo can be assigned to a specific route using the BookingService.assignCargoToRoute() method.|548d2237b01e45ac924c03a94c7ab850
itinerary|trackingid|A TrackingId is associated with an Itinerary during the BookingService.assignCargoToRoute() method.|548d2237b01e45ac924c03a94c7ab850
unlocode|changedestination|The Destination of a cargo can be changed using the CargoInspectionService.changeDestination() method.|548d2237b01e45ac924c03a94c7ab850
localdate|changedeadline|The ArrivalDeadline for a cargo can be changed using the BookingService.changeDeadline() method.|548d2237b01e45ac924c03a94c7ab850
cargoinspectionservice|trackingid|The CargoInspectionService is used to inspect cargo with a specific TrackingId.|54a8d1ee737a4bdd87e8c46c85303902
cargoinspectionservice|cargo|The CargoInspectionService inspects cargo.|54a8d1ee737a4bdd87e8c46c85303902
handlingeventservice|handlingevent|The HandlingEventService handles HandlingEvents.|54a8d1ee737a4bdd87e8c46c85303902
handlingeventservice|unlocode|The HandlingEventService creates HandlingEvents at specific UnLocodes.|54a8d1ee737a4bdd87e8c46c85303902
handlingeventservice|voyagenumber|The HandlingEventService creates HandlingEvents for specific VoyageNumbers.|54a8d1ee737a4bdd87e8c46c85303902
defaultbookingservice|cargorepository|dependency relationship between DefaultBookingService and CargoRepository|75527b59f6b1452ca921c60e357c0eab
bookingservice|defaultbookingservice|implements relationship between BookingService and DefaultBookingService|75527b59f6b1452ca921c60e357c0eab
cargorepository|cargo|accesses relationship between CargoRepository and Cargo|75527b59f6b1452ca921c60e357c0eab
cargorepository|location|accesses relationship between CargoRepository and Location|75527b59f6b1452ca921c60e357c0eab
cargo|itinerary|has relationship between Cargo and Itinerary|75527b59f6b1452ca921c60e357c0eab
itinerary|routespecification|refers to relationship between Itinerary and RouteSpecification|75527b59f6b1452ca921c60e357c0eab
trackingid|cargo|belongs to relationship between TrackingId and Cargo|75527b59f6b1452ca921c60e357c0eab
localdate|cargo|has relationship between LocalDate and Cargo for expiry date|75527b59f6b1452ca921c60e357c0eab
trackingid|cargorepository|The 'TrackingId' is stored in the 'cargoRepository'.|0cde8ee3640f45af805352680d1d451a
unlocode|location|Both 'UnLocode' and 'Location' are used to identify places where cargo can be delivered or picked up. A 'Location' is identified by its 'UnLocode'. In this context, the 'OriginUnLocode' and 'DestinationUnLocode' parameters of the 'bookNewCargo' method take 'UnLocode' as input and pass it on to the 'LocationRepository' to retrieve the corresponding 'Location'.|0cde8ee3640f45af805352680d1d451a
routespecification|cargo|A 'RouteSpecification' is a set of instructions for moving cargo from one 'Location' to another. It contains the origin, destination, and deadline for delivery. This object is passed to the constructor of the 'Cargo' object during the 'bookNewCargo' method.|0cde8ee3640f45af805352680d1d451a
routingservice|bookingservice|The 'RoutingService' is used by the 'BookingService' to find possible routes for a given cargo. The 'routingService' dependency is injected into both classes.|0cde8ee3640f45af805352680d1d451a
locationrepository|locationrepository|Both 'LocationRepository' and 'locationRepository' are used to retrieve the details of a location based on its 'UnLocode'. They are both dependency injected into the class.|0cde8ee3640f45af805352680d1d451a
cargorepository|cargorepository|Both 'CargoRepository' and 'cargoRepository' are used to store and retrieve cargo objects. They are both dependency injected into the class.|0cde8ee3640f45af805352680d1d451a
cargo|routespecification|The cargo is associated with a routeSpecification through the method getRouteSpecification() in Cargo class.|c2b210b275974950912956df420c2957
routingservice|cargo|The routingService fetches routes for a given cargo using the cargo's routeSpecification.|c2b210b275974950912956df420c2957
trackingid|cargo|A tracking ID is used to locate a specific Cargo object in the repository.|c2b210b275974950912956df420c2957
unlocode|location|An UNLOCode code identifies a particular location.|c2b210b275974950912956df420c2957
newdestination|location|The new destination for cargo is identified using its Location object.|c2b210b275974950912956df420c2957
cargo|origin|Each Cargo object has an origin location.|c2b210b275974950912956df420c2957
location|routespecification|A RouteSpecification represents a journey between two locations.|c2b210b275974950912956df420c2957
localdate|routespecification|The arrival deadline for the cargo's new route is specified using a LocalDate object.|c2b210b275974950912956df420c2957
defaultcargoinspectionservice|cargoinspectionservice|is a specific implementation of CargoInspectionService interface|772c71436c9a45d9a905f0de3a432849
cargorepository|cargorepository|represents the repository for storing cargo objects|772c71436c9a45d9a905f0de3a432849
trackingid|trackingid|is a unique identifier assigned to each cargo object|772c71436c9a45d9a905f0de3a432849
cargo|cargo|represents the actual cargo being tracked|772c71436c9a45d9a905f0de3a432849
handlingeventrepository|handlingeventrepository|maintains a history of handling events for each cargo object|772c71436c9a45d9a905f0de3a432849
handlinghistory|handlinghistory|is the collection of handling events associated with a specific cargo object|772c71436c9a45d9a905f0de3a432849
level|level.info|specifies the severity level for logging messages|772c71436c9a45d9a905f0de3a432849
logger|logger|provides a mechanism for recording information, debugging output, and error messages|772c71436c9a45d9a905f0de3a432849
applicationevents|applicationevents|is used to notify listeners of application-specific events|772c71436c9a45d9a905f0de3a432849
defaulthandlingeventservice|applicationevents|The DefaultHandlingEventService class uses the ApplicationEvents instance to publish an event stating that a cargo has been handled.|9e57532429b9487e8fdaa10302439de9
defaulthandlingeventservice|handlingeventrepository|The DefaultHandlingEventService class stores the new handling event in the HandlingEventRepository instance, which updates the persistent state of the handling event aggregate.|9e57532429b9487e8fdaa10302439de9
defaulthandlingeventservice|handlingeventfactory|The DefaultHandlingEventService class uses the HandlingEventFactory instance to create a new HandlingEvent object.|9e57532429b9487e8fdaa10302439de9
