node_1|node_2|edge|chunk_id|node_3|node_4
holdingdata.java|orderdatajsf.java|Both classes are related to handling and displaying holding and order data for users, respectively.|1bf14da7123a4002bd93831e3197c10b||
loginvalidator.java|jsfloginfilter.java|Both classes are involved in user authentication for accessing the web application's resources and functionality.|1bf14da7123a4002bd93831e3197c10b||
marketsummaryjsf.java|quotejsf.java|Both classes provide users with market summary and quote information, respectively.|1bf14da7123a4002bd93831e3197c10b||
portfoliojsf.java|tradeappjsf.java|Both classes enable users to view their portfolios and execute trades, respectively.|1bf14da7123a4002bd93831e3197c10b||
ee7-web|/src/main/java|is a directory containing Java source code files for the daytrader EE7 web application.|4474977af7974b63aaf6c2b01529b3d0||
daytrader7|/projects/sample.daytrader7|is the directory where the source code of version 7 of the daytrader web application is stored, with 'sample' being a possible prefix for project names.|4474977af7974b63aaf6c2b01529b3d0||
pingservlet2jndi.java|ee7-web|is a file containing Java source code for a web servlet named PingServlet2JNDI in the EE7 web application directory.|4474977af7974b63aaf6c2b01529b3d0||
pingservlet2jsp.java|ee7-web|is a file containing Java source code for a web servlet named PingServlet2Jsp in the EE7 web application directory.|4474977af7974b63aaf6c2b01529b3d0||
pingservlet2pdf.java|ee7-web|is a file containing Java source code for a web servlet named PingServlet2PDF in the EE7 web application directory.|4474977af7974b63aaf6c2b01529b3d0||
pingservlet2servlet.java|ee7-web|is a file containing Java source code for a web servlet named PingServlet2Servlet in the EE7 web application directory.|4474977af7974b63aaf6c2b01529b3d0||
pingservlet2servletrcv.java|ee7-web|is a file containing Java source code for a class called PingServlet2ServletRcv in the EE7 web application directory.|4474977af7974b63aaf6c2b01529b3d0||
pingservlet30async.java|ee7-web|is a file containing Java source code for a web servlet named PingServlet30Async in the EE7 web application directory.|4474977af7974b63aaf6c2b01529b3d0||
pingservlet31async.java|ee7-web|is a file containing Java source code for a web servlet named PingServlet31Async in the EE7 web application directory.|4474977af7974b63aaf6c2b01529b3d0||
pingservlet31asyncread.java|ee7-web|is a file containing Java source code for a class called PingServlet31AsyncRead in the EE7 web application directory.|4474977af7974b63aaf6c2b01529b3d0||
pingservletcdi.java|ee7-web|is a file containing Java source code for a web servlet named PingServletCDI in the EE7 web application directory.|4474977af7974b63aaf6c2b01529b3d0||
pingservletcdibeanmanagerviacdicurrent.java|ee7-web|is a file containing Java source code for a class called PingServletCDIBeanManagerViaCDICurrent in the EE7 web application directory.|4474977af7974b63aaf6c2b01529b3d0||
daytrader|ee7-web|is a directory containing the source code of the daytrader web application, which is part of the EE7 web application directory.|4474977af7974b63aaf6c2b01529b3d0||
src|daytrader|is a subdirectory within the daytrader web application directory containing its source code files.|4474977af7974b63aaf6c2b01529b3d0||
main|src|is a subdirectory within the 'src' directory of the daytrader web application, where Java source code files for this project are usually stored.|4474977af7974b63aaf6c2b01529b3d0||
java|main|is a subdirectory inside the 'main' directory of the 'src' directory of the daytrader web application, where Java source code files for this project are kept.|4474977af7974b63aaf6c2b01529b3d0||
ee7-web|/home/jerry/projects/sample.daytrader7/daytrader-ee7-web|is a directory containing the source code for the DayTrader web application in EE7 Web profile|ae8149e1905244eb903a98aa0676f3b5||
pingwebsocketjson|ee7-web|is located inside the directory 'ee7-web'|ae8149e1905244eb903a98aa0676f3b5||
pingwebsockettextasync|ee7-web|is located inside the directory 'ee7-web'|ae8149e1905244eb903a98aa0676f3b5||
pingwebsockettextsync|ee7-web|is located inside the directory 'ee7-web'|ae8149e1905244eb903a98aa0676f3b5||
pingservlet2entity|/home/jerry/projects/sample.daytrader7/daytrader-ee7-web|is a Java class located inside the directory 'daytrader-ee7-web'|ae8149e1905244eb903a98aa0676f3b5||
pingservlet2mdbqueue|/home/jerry/projects/sample.daytrader7/daytrader-ee7-web|is a Java class located inside the directory 'daytrader-ee7-web'|ae8149e1905244eb903a98aa0676f3b5||
pingservlet2mdbtopic|/home/jerry/projects/sample.daytrader7/daytrader-ee7-web|is a Java class located inside the directory 'daytrader-ee7-web'|ae8149e1905244eb903a98aa0676f3b5||
pingservlet2session2cmrone2many|/home/jerry/projects/sample.daytrader7/daytrader-ee7-web|is a Java class located inside the directory 'daytrader-ee7-web'|ae8149e1905244eb903a98aa0676f3b5||
pingservlet2session2cmrone2one|/home/jerry/projects/sample.daytrader7/daytrader-ee7-web|is a Java class located inside the directory 'daytrader-ee7-web'|ae8149e1905244eb903a98aa0676f3b5||
pingservlet2session2entity|/home/jerry/projects/sample.daytrader7/daytrader-ee7-web|is a Java class located inside the directory 'daytrader-ee7-web'|ae8149e1905244eb903a98aa0676f3b5||
pingservlet2session2entity2jsp|/home/jerry/projects/sample.daytrader7/daytrader-ee7-web|is a Java class located inside the directory 'daytrader-ee7-web'|ae8149e1905244eb903a98aa0676f3b5||
pingservlet2session2entitycollection.java|daytrader-ee7-web|The file 'PingServlet2Session2EntityCollection.java' is a part of the project 'daytrader-ee7-web'|1fe1d074b0ec4be28f2d1bde6f4cd07c||
pingservlet2session2entitycollection.java|java|The file 'PingServlet2Session2EntityCollection.java' is written in the programming language 'Java'|1fe1d074b0ec4be28f2d1bde6f4cd07c||
pingservlet2sessionlocal.java|pingservlet2session2entitycollection.java|The file 'PingServlet2SessionLocal.java' is also a part of the project 'daytrader-ee7-web', and is closely related to 'PingServlet2Session2EntityCollection.java'|1fe1d074b0ec4be28f2d1bde6f4cd07c||
pingservlet2sessionremote.java|pingservlet2sessionlocal.java|The file 'PingServlet2SessionRemote.java' is also a part of the project 'daytrader-ee7-web', and is related to 'PingServlet2SessionLocal.java'|1fe1d074b0ec4be28f2d1bde6f4cd07c||
pingservlet2twophase.java|java|The file 'PingServlet2TwoPhase.java' is written in the programming language 'Java'|1fe1d074b0ec4be28f2d1bde6f4cd07c||
actiondecoder.java|actionmessage.java|The class 'ActionDecoder.java' decodes messages of type 'ActionMessage.java'|1fe1d074b0ec4be28f2d1bde6f4cd07c||
jsondecoder.java|jsonencoder.java|The classes 'JsonDecoder.java' and 'JsonEncoder.java' are both used for encoding and decoding JSON messages|1fe1d074b0ec4be28f2d1bde6f4cd07c||
jsonmessage.java|marketsummarywebsocket.java|The class 'JsonMessage.java' is used to send and receive JSON messages in the 'MarketSummaryWebSocket.java' class|1fe1d074b0ec4be28f2d1bde6f4cd07c||
com.ibm.websphere.samples.daytrader.web|recentstockchangelist|is a part of the com.ibm.websphere.samples.daytrader.web package.|815cc6d5673a43a294126ec254331274||
com.ibm.websphere.samples.daytrader.web|ordersalertfilter|is a part of the com.ibm.websphere.samples.daytrader.web package.|815cc6d5673a43a294126ec254331274||
com.ibm.websphere.samples.daytrader.tradeaction|tradeservices|both are classes related to trade actions in Daytrader web application.|815cc6d5673a43a294126ec254331274||
license|apache license, version 2.0|is related to licensing information provided for the software distributed with Daytrader web application.|815cc6d5673a43a294126ec254331274||
com.ibm.websphere.samples.daytrader.web|filter|is a class used as a filter in the Daytrader web application.|815cc6d5673a43a294126ec254331274||
filterchain|filterconfig|both FilterChain and FilterConfig are interfaces related to configuring filters in the Daytrader web application, while HttpServletRequest and ServletResponse are classes used to represent requests and responses respectively.|815cc6d5673a43a294126ec254331274|HttpServletRequest|ServletResponse
collection|tradeservices|TradeServices can be accessed through a Collection in the Daytrader web application.|815cc6d5673a43a294126ec254331274||
ordersalertfilter|closedorders|is used to retrieve closed orders for a specific userID. The filter checks if the userID is provided and extracts the related Collection of closed orders using TradeServices and TradeAction classes. If the collection size is greater than zero, it sets the attribute 'closedOrders' in the request object.|424bf5706d4d4504bbb4b88d202e1eb4||
testservlet|daytrader-ee7-web|is a Java class file located in the directory '/home/jerry/projects/sample.daytrader7/daytrader-ee7-web/src/main/java/com/ibm/websphere/samples/daytrader/' which is part of the larger 'daytrader-ee7-web' project.|424bf5706d4d4504bbb4b88d202e1eb4||
testservlet|http get requests|Process incoming HTTP GET requests is a task performed by TestServlet for handling HTTP GET requests.|330a4a4f034747e49250553dcfd9baf9||
httpservlet|httpservletrequest|TestServlet, which extends HttpServlet, receives and processes HTTP requests through HttpServletRequest.|330a4a4f034747e49250553dcfd9baf9||
httpservlet|httpservletresponse|TestServlet, which extends HttpServlet, sends a response to the client using HttpServletResponse.|330a4a4f034747e49250553dcfd9baf9||
http get requests|httpservletrequest|HTTP GET requests are received by TestServlet through HttpServletRequest.|330a4a4f034747e49250553dcfd9baf9||
httpservletresponse|http response|TestServlet sends an HTTP response to the client using HttpServletResponse.|330a4a4f034747e49250553dcfd9baf9||
tradeconfig|com.ibm.websphere.samples.daytrader.tradeconfig|TestServlet can be configured through TradeConfig, which is a utility class provided by the DayTrader sample application.|330a4a4f034747e49250553dcfd9baf9||
log|com.ibm.websphere.samples.daytrader.log|TestServlet can log messages using Log, which is a utility class provided by the DayTrader sample application.|330a4a4f034747e49250553dcfd9baf9||
daytrader sample application|com.ibm.websphere.samples.daytrader|TestServlet can use classes from the DayTrader sample application, such as TradeAction and util.|330a4a4f034747e49250553dcfd9baf9||
tradeappservlet|httpservlet|TradeAppServlet is a subclass of HttpServlet.|3087f8d3b8a74fd0915fb1b8788b163d||
performtask|httpservletrequest|performTask is called by the HTTP request object (HttpServletRequest).|3087f8d3b8a74fd0915fb1b8788b163d||
performtask|httpservletresponse|The response from the servlet (HttpServletResponse) is returned after performTask completes.|3087f8d3b8a74fd0915fb1b8788b163d||
req|httpservletrequest|req is an instance of HttpServletRequest.|3087f8d3b8a74fd0915fb1b8788b163d||
resp|httpservletresponse|resp is an instance of HttpServletResponse.|3087f8d3b8a74fd0915fb1b8788b163d||
tradeconfig|direct|TradeConfig.runTimeMode is set to DIRECT.|3087f8d3b8a74fd0915fb1b8788b163d||
new tradeaction().createquote|s:i|createQuote creates a quote with the symbol s:i and other parameters.|3087f8d3b8a74fd0915fb1b8788b163d||
tradeaction|register|register registers a new account with the specified parameters.|3087f8d3b8a74fd0915fb1b8788b163d||
user1|password|user1 and password are used as arguments for register.|3087f8d3b8a74fd0915fb1b8788b163d||
new tradeaction().buy|s:1|buy creates an order with the symbol s:1 and other parameters.|3087f8d3b8a74fd0915fb1b8788b163d||
tradeaction|user1|The method buy() of the TradeAction class is called with 'user1' as its first argument.|ef79325cb6c845e69664bb454acf8940||
s:2|200.0|The string value 's:2' and the float value 200.0 are passed as arguments to the buy() method of the TradeAction class for 'user1'.|ef79325cb6c845e69664bb454acf8940||
thread|5000|The Thread class is invoked with 5000 milliseconds as its argument to execute a time-consuming task.|ef79325cb6c845e69664bb454acf8940||
tradeaction|getaccountdata|The method getAccountData() of the TradeAction class is called without any arguments for 'user1'.|ef79325cb6c845e69664bb454acf8940||
accountdata|resp.getwriter()|The accountData variable, which holds the account data for 'user1', is written to the PrintWriter object named resp.getWriter().|ef79325cb6c845e69664bb454acf8940||
tradeaction|getholdings|The method getHoldings() of the TradeAction class is called without any arguments for 'user1'.|ef79325cb6c845e69664bb454acf8940||
holdingdatabeans|log.printcollection()|The Collection object named holdingDataBeans, which holds the holding data for 'user1', is passed as an argument to the Log.printCollection() method.|ef79325cb6c845e69664bb454acf8940||
servletcontext|getrequestdispatcher()|The ServletContext class is invoked with getRequestDispatcher() as its method to include a file named tradehome.jsp.|ef79325cb6c845e69664bb454acf8940||
