node_1|node_2|edge|chunk_id|node_3|node_4|edge_1|edge_2
account|userid|A user's unique identification number assigned by the system.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|email|The email address associated with the user's account.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|firstname|The first name of the user.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|lastname|The last name of the user.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|status|The current status of the user's account, such as active or inactive.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|address1|The primary address associated with the user's account.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|address2|An optional secondary address associated with the user's account.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|city|The city in which the user is located.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|state|The state or province in which the user is located.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|zip|The zip code associated with the user's address.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|country|The country in which the user is located.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|phone|The user's contact phone number.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|favouritecategoryid|An optional category associated with the user's preferences.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|languagepreference|The user's preferred language for interaction with the system.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|listoption|A boolean flag indicating whether the user has opted to receive email notifications about product listings.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|banneroption|A boolean flag indicating whether the user has opted to see banner advertisements.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
account|bannername|The name of a specific banner that the user has previously selected.|28c4cf26aeff4a75b7dff80bdb6f42ad||||
cart|jpetstore|Cart is a class located in the jpetstore project.|1d1530ecebdc4c48bf829539106d365d||||
domain|cart|Cart is a class under the domain package of this project.|1d1530ecebdc4c48bf829539106d365d||||
com|ibatis|This class belongs to the com.ibatis package within the jpetstore project.|1d1530ecebdc4c48bf829539106d365d||||
src|web|The file containing this code is located in the src/WEB directory of the project.|1d1530ecebdc4c48bf829539106d365d||||
inf|classes|This Java class file is stored under the INF/classes directory.|1d1530ecebdc4c48bf829539106d365d||||
com|ibatis||1d1530ecebdc4c48bf829539106d365d|jpetstore|domain|Cart is a class of the jpetstore project, which falls under the com.ibatis package within the domain package.|Both jpetstore and domain are subpackages of com.ibatis.
jpetstore|cart||1d1530ecebdc4c48bf829539106d365d|address2|setAddress2|The Cart class has a member variable named address2.|This variable can be set using the setAddress2() method.
cart|address2||1d1530ecebdc4c48bf829539106d365d|getAddress2||The Cart class has a getter method named getAddress2().|This method can be used to retrieve the value of the address2 variable.
city|setcity|The Cart class has a member variable named city, and it has a setter method named setCity().|1d1530ecebdc4c48bf829539106d365d||||
state|setstate|The Cart class has a member variable named state, and it has a setter method named setState().|1d1530ecebdc4c48bf829539106d365d||||
zip|setzip|The Cart class has a member variable named zip, and it has a setter method named setZip().|1d1530ecebdc4c48bf829539106d365d||||
country|setcountry|The Cart class has a member variable named country, and it has a setter method named setCountry().|1d1530ecebdc4c48bf829539106d365d||||
phone|setphone|The Cart class has a member variable named phone, and it has a setter method named setPhone().|1d1530ecebdc4c48bf829539106d365d||||
favouritecategoryid|setfavouritecategoryid|The Cart class has a member variable named favouriteCategoryId, and it has a setter method named setFavouriteCategoryId().|1d1530ecebdc4c48bf829539106d365d||||
languagepreference|setlanguagepreference|The Cart class has a member variable named languagePreference, and it has a setter method named setLanguagePreference().|1d1530ecebdc4c48bf829539106d365d||||
listoption|islistoption|The Cart class has a boolean member variable named listOption, and it has a getter method named isListOption().|1d1530ecebdc4c48bf829539106d365d||||
banneroption|isbanneroption|The Cart class has a boolean member variable named bannerOption, and it has a getter method named isBannerOption().|1d1530ecebdc4c48bf829539106d365d||||
bannername|setbannername|The Cart class has a member variable named bannerName, and it has a setter method named setBannerName().|1d1530ecebdc4c48bf829539106d365d||||
setquantitybyitemid|itemid|is the identifier for a specific item in the cart|350ff86b9b964aba852f7e3ca6d60c70||||
setquantitybyitemid|quantity|represents the amount of the specified item being ordered|350ff86b9b964aba852f7e3ca6d60c70||||
cartitem|item|is a reference to the specific item being ordered in this cart entry|350ff86b9b964aba852f7e3ca6d60c70||||
getsubtotal|subtotal|represents the total cost of all items in the cart with the given itemId|350ff86b9b964aba852f7e3ca6d60c70||||
item|listprice|denotes the standard price of a particular item, before any discounts or promotions are applied|350ff86b9b964aba852f7e3ca6d60c70||||
cartitem|quantity|is used to determine how many instances of the specified item are being ordered in this cart entry|350ff86b9b964aba852f7e3ca6d60c70||||
category|categoryid|uniquely identifies a specific category or product line within the store's inventory|350ff86b9b964aba852f7e3ca6d60c70||||
item|product|An Item is associated with a specific Product.|161e7cbbd74e4c3d8729a01494005e56||||
itemid|item|The itemId property represents the unique identifier for an Item.|161e7cbbd74e4c3d8729a01494005e56||||
