node_1|node_2|edge|chunk_id|node_3|node_4|relation|node_5|edge_1|edge_2|edge_3
ibm|copyright license|The text 'Copyright LICENSE:' indicates that IBM holds the copyright for the sample code, and the license allows for its use in developing, using, marketing or distributing application programs conforming to the application programming interface for the operating platform. This relationship between IBM and Copyright License is established.|3816d092f22a44288a952f3a5a014272|||||||
ibm|sample source code|The text 'Found 39 source code files:' indicates that IBM provides sample source code in source code form, which can be copied, modified, and distributed for developing, using, marketing or distributing application programs conforming to the application programming interface for the operating platform. This relationship between IBM and Sample Source Code is established.|3816d092f22a44288a952f3a5a014272|||||||
ibm|package|The text 'package com.ibm.websphere.samples.pbw.bean;' indicates that the sample source code provided by IBM belongs to a package named 'com.ibm.websphere.samples.pbw.bean'. This relationship between IBM and Package is established.|3816d092f22a44288a952f3a5a014272|||||||
createbackorder|inventoryid|passed as parameter to create a new BackOrder for the given inventoryID|7d41b97e1ca548578681c3965202c9ae|||||||
getsingleresult|backorder|used to retrieve an existing BackOrder with the specified ID|7d41b97e1ca548578681c3965202c9ae|||||||
equals|util.status_orderstock|used to compare the status of the retrieved BackOrder with a predefined constant|7d41b97e1ca548578681c3965202c9ae|||||||
getquantity|backorder|called on an existing BackOrder object to retrieve its current quantity|7d41b97e1ca548578681c3965202c9ae|||||||
setquantity|backorder|used to update the quantity of an existing BackOrder object with a new value|7d41b97e1ca548578681c3965202c9ae|||||||
createnamedquery|em|called on the EntityManager object to retrieve all BackOrders using a named query|7d41b97e1ca548578681c3965202c9ae|||||||
getresultlist|q|used to execute the previously created named query and return a list of its results|7d41b97e1ca548578681c3965202c9ae|||||||
findallbackorders|em|the name of the named query used to retrieve all BackOrders|7d41b97e1ca548578681c3965202c9ae|||||||
persist|b|used to save a new object (BackOrder) into the persistence context managed by the EntityManager object|7d41b97e1ca548578681c3965202c9ae|||||||
findbyprimarykeyupdate|backorderlocal|called on the local home interface of the entity superclass (Entity) to retrieve a specific entity by its primary key and update it|7d41b97e1ca548578681c3965202c9ae|||||||
findbyprimarykeyupdate|backorderid|used as an argument to locate a specific BackOrder object by its ID for deletion|7d41b97e1ca548578681c3965202c9ae|||||||
receiveconfirmation|backorderid|method called to update status of back order with given ID|a0f5247495a943cb918965b549b831b2|||||||
backorder|em.find(backorder.class, backorderid)|retrieval of BackOrder object using EntityManager and primary key|a0f5247495a943cb918965b549b831b2|||||||
setstatus|util.status_receivedstock|setting the status of BackOrder object to Util.STATUS_RECEIVEDSTOCK|a0f5247495a943cb918965b549b831b2|||||||
backordermgr|receiveconfirmation()|method called in BackOrderManager class|a0f5247495a943cb918965b549b831b2|||||||
util.status_receivedstock|backorderid|status of BackOrder object with given ID is updated to Util.STATUS_RECEIVEDSTOCK|a0f5247495a943cb918965b549b831b2|||||||
orderstock|backorderid|method called to update quantity and status of BackOrder object with given ID|a0f5247495a943cb918965b549b831b2|||||||
setbackorderstatus|util.status_orderedstock|setting the status of BackOrder object to Util.STATUS_ORDEREDSTOCK|a0f5247495a943cb918965b549b831b2|||||||
setbackorderquantity|quantity|setting the quantity of BackOrder object|a0f5247495a943cb918965b549b831b2|||||||
setbackorderorderdate|backorderid|updating the order date of BackOrder object with given ID|a0f5247495a943cb918965b549b831b2|||||||
abortorderstock|backorderid|resetting the status of BackOrder object with given ID since the order failed|a0f5247495a943cb918965b549b831b2|||||||
setbackorderstatus|util.status_orderstock|setting the status of BackOrder object to Util.STATUS_ORDERSTOCK|a0f5247495a943cb918965b549b831b2|||||||
getbackorderquantity|backorderid|is called with the specified backOrderID parameter to retrieve the quantity of the associated back order.|2b55e3d5fef04d50a171a19d3c4c1915|||||||
em.find|backorder id|is used to locate the BackOrder object with the given ID in the Entity Manager, which is passed as a parameter to the 'getBackOrderQuantity' method.|2b55e3d5fef04d50a171a19d3c4c1915|||||||
backorderlocalhome.findbyprimarykey|backorder key|is invoked with the specified BackOrder Key object to locate the BackOrder object from the local PersistenceManager in 'getBackOrderQuantity' method, but not used here.|2b55e3d5fef04d50a171a19d3c4c1915|||||||
getinventoryid|backorderid|is called with the given backOrderID to retrieve the inventory ID associated with it in 'getBackOrderInventoryID' method.|2b55e3d5fef04d50a171a19d3c4c1915|||||||
em.find|inventory id|is used to locate the Inventory object with the given ID in the Entity Manager, which is passed as a parameter to 'getBackOrderInventoryID' method.|2b55e3d5fef04d50a171a19d3c4c1915|||||||
backorderlocalhome.findbyprimarykey|backorder key|is invoked with the specified BackOrder Key object to locate the BackOrder object from the local PersistenceManager in 'getBackOrderInventoryID' method, but not used here.|2b55e3d5fef04d50a171a19d3c4c1915|||||||
resetbackorderstatus|backorderid|is called with the specified backOrderID parameter to reset the status of the associated back order in 'resetBackOrderStatus' method.|2b55e3d5fef04d50a171a19d3c4c1915|||||||
