node_1|node_2|edge|chunk_id
bootstrappaginator|$|jQuery is used to initialize the BootstrapPaginator class, which is a custom pagination component for Bootstrap. The $ symbol represents jQuery itself.|e5746b7a5e4d42d88a08779430e1781a
element|bootstrappaginator|The constructor of the BootstrapPaginator class takes an element as one of its arguments, which is the HTML element that contains the pagination component.|e5746b7a5e4d42d88a08779430e1781a
options|bootstrappaginator|The constructor also accepts options as an argument. These options can be used to customize the behavior of the pagination component, such as specifying the major version of Bootstrap being used.|e5746b7a5e4d42d88a08779430e1781a
version|bootstrappaginator|If the user is using Bootstrap version 2 or higher, they can specify the major version via the 'bootstrapMajorVersion' option. This information helps to determine whether certain HTML elements are required for the pagination component.|e5746b7a5e4d42d88a08779430e1781a
id|bootstrappaginator|The constructor also retrieves the 'id' attribute of the HTML element that contains the pagination component. This is likely used to uniquely identify the pagination element within the page.|e5746b7a5e4d42d88a08779430e1781a
version|bootstrappaginator/element|If the user is using Bootstrap version 2, then the HTML element that contains the pagination component must be a 'div' element. This information is used to ensure compatibility with the version of Bootstrap being used.|e5746b7a5e4d42d88a08779430e1781a
version|bootstrappaginator/element|If the user is using Bootstrap version 3, then the HTML element that contains the pagination component must be an 'ul' element. This information is used to ensure compatibility with the version of Bootstrap being used.|e5746b7a5e4d42d88a08779430e1781a
pages|this.getpages()|Extracted ontology term 'pages' is related to the function call 'this.getPages()'|5ac721b57709423bb86bf744d992249c
first|show(pages.first)|Extracted ontology term 'first' is related to the function call 'show(pages.first)' when the context mentions this.|5ac721b57709423bb86bf744d992249c
last|show(pages.last)|Extracted ontology term 'last' is related to the function call 'show(pages.last)' when the context mentions this.|5ac721b57709423bb86bf744d992249c
page-clicked|[event, type, page]|Extracted ontology term 'page-clicked' is related to the event argument '[event, type, page]' when triggered in the context of this.|5ac721b57709423bb86bf744d992249c
page|currenttarget.bootstrappaginator('show', page)|Extracted ontology term 'page' is related to the function call 'currentTarget.bootstrapPaginator('show', page)' when the context mentions currentTarget and this.|5ac721b57709423bb86bf744d992249c
first|bootstrappaginator('showfirst')|Extracted ontology term 'first' is related to the function call 'bootstrapPaginator('showFirst')' when the context mentions currentTarget and this.|5ac721b57709423bb86bf744d992249c
prev|bootstrappaginator('showprevious')|Extracted ontology term 'prev' is related to the function call 'bootstrapPaginator('showPrevious')' when the context mentions currentTarget and this.|5ac721b57709423bb86bf744d992249c
next|bootstrappaginator('shownext')|Extracted ontology term 'next' is related to the function call 'bootstrapPaginator('showNext')' when the context mentions currentTarget and this.|5ac721b57709423bb86bf744d992249c
last|bootstrappaginator('showlast')|Extracted ontology term 'last' is related to the function call 'bootstrapPaginator('showLast')' when the context mentions currentTarget and this.|5ac721b57709423bb86bf744d992249c
containerclass|getvaluefromoption(this.options.containerclass, this.$element)|Extracted ontology term 'containerClass' is related to the function call 'getValueFromOption(this.options.containerClass, this.$element)' when the context mentions this.|5ac721b57709423bb86bf744d992249c
size|"this.options.size || 'normal'"|"Extracted ontology term 'size' is related to the expression 'this.options.size || 'normal'"|5ac721b57709423bb86bf744d992249c
alignment|"this.options.alignment || 'left'"|"Extracted ontology term 'alignment' is related to the expression 'this.options.alignment || 'left'"|5ac721b57709423bb86bf744d992249c
pages|this.getpages()|Extracted ontology term 'pages' is related to the function call 'this.getPages()'|5ac721b57709423bb86bf744d992249c
pagination|size|is a type of pagination with a specific size|8abdb79a66154a6db19b42328ddf8a82
pagination|class'|has a class called 'pagination'|8abdb79a66154a6db19b42328ddf8a82
